6,15,6,10,6,11,12,16,2,3,5,6
10,33,7,18,6,21,14,24,3,6,9,12
12,53,9,23,10,31,15,32,4,7,13,20
12,82,11,29,11,38,17,43,5,11,14,26
15,116,16,36,16,47,18,48,5,12,18,33
16,132,18,43,18,52,18,55,5,15,18,39
17,148,19,47,18,57,19,58,5,22,19,45
18,167,20,52,18,60,21,63,6,27,21,53
